360.0	116.0	53.0	58.0	57.0	143.0	79.0	150.0	75.0	69.0	42.0	74.0	189.0	71.0	36.0
365.0	136.0	55.0	59.0	59.0	187.0	81.0	177.0	78.0	72.0	43.0	79.0	175.0	76.0	36.0
370.0	159.0	59.0	61.0	62.0	233.0	89.0	218.0	84.0	73.0	45.0	86.0	158.0	82.0	36.0
375.0	190.0	64.0	63.0	67.0	269.0	113.0	293.0	90.0	70.0	47.0	98.0	139.0	90.0	36.0
380.0	219.0	70.0	65.0	74.0	295.0	151.0	378.0	104.0	66.0	50.0	111.0	120.0	104.0	36.0
385.0	239.0	79.0	68.0	83.0	306.0	203.0	459.0	129.0	62.0	54.0	121.0	103.0	127.0	36.0
390.0	252.0	89.0	70.0	93.0	310.0	265.0	524.0	170.0	58.0	59.0	127.0	90.0	161.0	37.0
395.0	256.0	101.0	72.0	105.0	312.0	339.0	546.0	240.0	55.0	63.0	129.0	82.0	211.0	38.0
400.0	256.0	111.0	73.0	116.0	313.0	410.0	551.0	319.0	52.0	66.0	127.0	76.0	264.0	39.0
405.0	254.0	116.0	73.0	121.0	315.0	464.0	555.0	416.0	52.0	67.0	121.0	68.0	313.0	39.0
410.0	252.0	118.0	74.0	124.0	319.0	492.0	559.0	462.0	51.0	68.0	116.0	64.0	341.0	40.0
415.0	248.0	120.0	74.0	126.0	322.0	508.0	560.0	482.0	50.0	69.0	112.0	65.0	352.0	41.0
420.0	244.0	121.0	74.0	128.0	326.0	517.0	561.0	490.0	50.0	69.0	108.0	75.0	359.0	42.0
425.0	240.0	122.0	73.0	131.0	330.0	524.0	558.0	488.0	49.0	70.0	105.0	93.0	361.0	42.0
430.0	237.0	122.0	73.0	135.0	334.0	531.0	556.0	482.0	48.0	72.0	104.0	123.0	364.0	43.0
435.0	232.0	122.0	73.0	139.0	339.0	538.0	551.0	473.0	47.0	73.0	104.0	160.0	365.0	44.0
440.0	230.0	123.0	73.0	144.0	346.0	544.0	544.0	462.0	46.0	76.0	105.0	207.0	367.0	44.0
445.0	226.0	124.0	73.0	151.0	352.0	551.0	535.0	450.0	44.0	78.0	106.0	256.0	369.0	45.0
450.0	225.0	127.0	74.0	161.0	360.0	556.0	522.0	439.0	42.0	83.0	110.0	300.0	372.0	45.0
455.0	222.0	128.0	75.0	172.0	369.0	556.0	506.0	426.0	41.0	88.0	115.0	331.0	374.0	46.0
